antecedent,consequent,support,confidence,lift
33 106,39 40,98,0.6901,5.8815
49 282,39 40,184,0.6840,5.8293
106,39 40,449,0.6834,5.8241
391,39 49,197,0.5239,5.8146
791,39 40,356,0.6807,5.8010
37 111,39 49,97,0.5215,5.7876
38,39 49,557,0.5186,5.7556
1728,39 49,90,0.5172,5.7403
841,39 49,202,0.5166,5.7335
372,39 40,526,0.6726,5.7323
33 37,39 49,254,0.5142,5.7062
33 841,39,91,1.0000,5.6529
33 48 49,39,107,1.0000,5.6529
33 40 48 49,39,97,1.0000,5.6529
33 372,39,121,1.0000,5.6529
42 49 372,39,101,1.0000,5.6529
33 38 49,39,122,1.0000,5.6529
33 38 40 49,39,101,1.0000,5.6529
33 38 40,39,137,1.0000,5.6529
38 42 49,39,172,1.0000,5.6529
38 40 42 49,39,151,1.0000,5.6529
171 439,39,103,1.0000,5.6529
37 311,39,92,1.0000,5.6529
37 49 171,39,107,1.0000,5.6529
171 226,39,129,1.0000,5.6529
40 171 226,39,99,1.0000,5.6529
40 49 90 171,39,111,1.0000,5.6529
49 90 171,39,140,1.0000,5.6529
371,39 49,191,0.5093,5.6525
37,39 40,1945,0.6625,5.6457
40 42 49 111,39,346,0.9971,5.6366
40 49 372,39,294,0.9966,5.6337
40 49 106,39,290,0.9966,5.6334
38 42,39,246,0.9960,5.6300
38 40 42,39,202,0.9951,5.6250
33 40 49 111,39,201,0.9950,5.6249
33 38,39,185,0.9946,5.6225
40 49 111,39,1031,0.9942,5.6202
42 372,39,171,0.9942,5.6200
40 42 791,39,153,0.9935,5.6162
33 40 287,39,143,0.9931,5.6136
1591,39 40,193,0.6587,5.6136
33 40 111,39,284,0.9930,5.6133
40 42 372,39,136,0.9927,5.6116
37 40 111,39,135,0.9926,5.6113
40 90 171,39,131,0.9924,5.6100
37 40 90,39,128,0.9922,5.6090
40 42 111,39,511,0.9922,5.6090
33 49 287,39,127,0.9922,5.6087
33 42 111,39,123,0.9919,5.6073
57,39 40,352,0.6579,5.6071
40 42 106,39,119,0.9917,5.6058
40 111 171,39,119,0.9917,5.6058
33 40 48,39,117,0.9915,5.6050
42 371,39,111,0.9911,5.6024
40 42 49 791,39,110,0.9910,5.6019
66 171,39,110,0.9910,5.6019
33 40 49 171,39,213,0.9907,5.6003
90 111,39,106,0.9907,5.6000
42 49 111,39,419,0.9905,5.5994
42 49 106,39,103,0.9904,5.5985
111 226,39,102,0.9903,5.5980
49 171 238,39,102,0.9903,5.5980
33 49 171,39,305,0.9903,5.5978
42 791,39,202,0.9902,5.5974
33 40 49 287,39,100,0.9901,5.5969
171 311,39,100,0.9901,5.5969
33 40 106,39,98,0.9899,5.5958
37 40 49 90,39,98,0.9899,5.5958
37 49 111,39,97,0.9898,5.5952
37 49 66,39,96,0.9897,5.5946
33 40 42 111,39,94,0.9895,5.5934
37 49 238,39,93,0.9894,5.5927
40 49 171,39,1193,0.9892,5.5919
40 111,39,1740,0.9892,5.5918
49 372,39,365,0.9892,5.5916
40 49 171 238,39,90,0.9890,5.5907
40 49 2806,39,89,0.9889,5.5901
33 49 111,39,264,0.9888,5.5893
40 372,39,526,0.9887,5.5891
90 171,39,169,0.9883,5.5867
49 171,39,1538,0.9878,5.5839
111 171,39,158,0.9875,5.5822
37 238,39,157,0.9874,5.5818
40 49 287,39,458,0.9871,5.5798
171 238,39,152,0.9870,5.5794
40 106,39,449,0.9868,5.5783
33 111,39,443,0.9866,5.5773
33 48,39,147,0.9866,5.5770
49 106,39,367,0.9866,5.5769
40 49 841,39,145,0.9864,5.5760
42 171,39,794,0.9863,5.5756
37 171,39 40,140,0.6542,5.5753
49 111,39,1361,0.9862,5.5750
38 49,39,557,0.9858,5.5728
40 42 49 171,39,413,0.9857,5.5719
40 42 171,39,615,0.9856,5.5713
42 49 791,39,136,0.9855,5.5709
33 171,39,532,0.9852,5.5691
38 40 49,39,433,0.9841,5.5629
37 40 238,39,122,0.9839,5.5617
42 111,39,666,0.9838,5.5610
42 49 171,39,484,0.9837,5.5609
40 171 238,39,119,0.9835,5.5594
33 791,39,118,0.9833,5.5586
40 49 791,39,235,0.9833,5.5583
49 287,39,581,0.9831,5.5572
171,39 40,2019,0.6515,5.5522
33 40 171,39,326,0.9819,5.5507
48 49,39,269,0.9818,5.5497
37 171,39 49,107,0.5000,5.5490
40 48 49,39,212,0.9815,5.5482
37 171,39,210,0.9813,5.5472
42 49 287,39,157,0.9812,5.5469
33 42 171,39,155,0.9810,5.5455
42 49 56,39,103,0.9810,5.5452
33 42 49 171,39,103,0.9810,5.5452
372,39,767,0.9808,5.5444
49 841,39,202,0.9806,5.5431
40 171,39,2019,0.9806,5.5430
37 90,39,150,0.9804,5.5420
42 106,39,147,0.9800,5.5398
40 2806,39,144,0.9796,5.5375
40 49 371,39,142,0.9793,5.5359
37 40 171,39,140,0.9790,5.5343
40 42 57,39,93,0.9789,5.5339
40 42 49 56,39,93,0.9789,5.5339
106,39,643,0.9787,5.5324
37 111,39,182,0.9785,5.5313
40 48,39,313,0.9781,5.5292
171,39,3031,0.9781,5.5288
42 48,39,89,0.9780,5.5286
40 791,39,356,0.9780,5.5286
2806,39 40,144,0.6486,5.5279
40 42 49 287,39,131,0.9776,5.5263
42 56,39,171,0.9771,5.5237
3905,39,333,0.9765,5.5202
40 841,39,245,0.9761,5.5177
40 42 287,39,203,0.9760,5.5170
37 40 66,39,119,0.9754,5.5139
33 40 42 171,39,119,0.9754,5.5139
111,39,2725,0.9753,5.5133
49 1832,39,117,0.9750,5.5115
40 1832,39,156,0.9750,5.5115
42 57,39,116,0.9748,5.5104
49 791,39,307,0.9746,5.5093
40 3905,39,268,0.9745,5.5090
49 371,39,191,0.9745,5.5087
33 37 40 49,39,191,0.9745,5.5087
37 49 90,39,113,0.9741,5.5067
38,39,1046,0.9739,5.5055
37 40 42 49,39,334,0.9738,5.5045
48,39,432,0.9730,5.5001
49 2806,39,107,0.9727,5.4987
40 42 56,39,141,0.9724,5.4969
40 371,39,241,0.9718,5.4933
37 42 49,39,377,0.9716,5.4926
791,39,508,0.9713,5.4907
40 287,39,728,0.9707,5.4870
42 391,39,99,0.9706,5.4866
40 1591,39,193,0.9698,5.4824
42 841,39,96,0.9697,5.4816
33 37 49,39,254,0.9695,5.4803
33 287,39,222,0.9694,5.4801
841,39,379,0.9693,5.4794
1832,39,252,0.9692,5.4789
40 49 57,39,219,0.9690,5.4778
371,39 40,241,0.6427,5.4769
40 49 56,39,243,0.9681,5.4727
49 1591,39,120,0.9677,5.4705
42 3905,39,120,0.9677,5.4705
37 40 49,39,1080,0.9677,5.4705
38 40,39,684,0.9675,5.4690
37 66,39,147,0.9671,5.4669
40 57,39,352,0.9670,5.4665
33 57,39,117,0.9669,5.4660
37 40 42,39,553,0.9668,5.4651
40 49 3905,39,173,0.9665,5.4634
42 287,39,259,0.9664,5.4630
391,39 40,241,0.6410,5.4624
371,39,362,0.9653,5.4569
49 3905,39,193,0.9650,5.4550
40 42 3905,39,108,0.9643,5.4510
40 1728,39,105,0.9633,5.4454
49 282,39,259,0.9628,5.4427
33 37 42,39,128,0.9624,5.4403
33 37 40 42,39,102,0.9623,5.4395
57,39,514,0.9607,5.4310
37 49,39,1360,0.9605,5.4293
38,39 40,684,0.6369,5.4275
1591,39,281,0.9590,5.4213
33 56,39,93,0.9588,5.4198
37 42,39,671,0.9586,5.4187
37 226,39,138,0.9583,5.4173
33 106,39,136,0.9577,5.4140
33 37,39,472,0.9555,5.4011
1047,33,339,0.9288,5.3987
2806,39,212,0.9550,5.3982
37 40,39,1945,0.9548,5.3976
49 57,39,295,0.9547,5.3967
282,39,432,0.9536,5.3908
33 111,39 40,284,0.6325,5.3904
40 49 282,39,184,0.9534,5.3893
40 3006,39,142,0.9530,5.3873
40 282,39,274,0.9514,5.3781
3006,39,195,0.9512,5.3771
49 56,39,309,0.9508,5.3746
33 37 40,39,308,0.9506,5.3737
40 49 1047,33,110,0.9244,5.3731
37,39,2790,0.9503,5.3718
37 40 226,39,110,0.9483,5.3605
49 3006,39,89,0.9468,5.3522
1530,39 40,202,0.6273,5.3462
841,39 40,245,0.6266,5.3400
40 1047,33,156,0.9176,5.3341
287,39,1116,0.9434,5.3327
42 282,39,113,0.9417,5.3231
391,39,354,0.9415,5.3221
33 287,39 40,143,0.6245,5.3217
33 37,39 40,308,0.6235,5.3134
111,39 40,1740,0.6228,5.3073
49 391,39,197,0.9381,5.3029
49 1728,39,90,0.9375,5.2996
40 391,39,241,0.9341,5.2804
40 56,39,422,0.9336,5.2777
40 49 391,39,154,0.9333,5.2760
56,39,657,0.9332,5.2755
49 1189,39,125,0.9328,5.2732
1046,33,97,0.9065,5.2695
1728,39,162,0.9310,5.2630
287,39 40,728,0.6154,5.2444
1189,39,256,0.9275,5.2432
49 1047,33,171,0.9000,5.2315
40 49 1189,39,99,0.9252,5.2302
1530,39,295,0.9161,5.1789
3855,39,94,0.9126,5.1589
282,39 40,274,0.6049,5.1547
33 171,39 40,326,0.6037,5.1449
1728,39 40,105,0.6034,5.1427
40 1189,39,160,0.9091,5.1390
40 1530,39,202,0.9058,5.1205
1832,39 40,156,0.6000,5.1133
111 238,39,94,0.9038,5.1093
56,39 40,422,0.5994,5.1085
49 1530,39,125,0.8993,5.0835
40 49 1530,39,97,0.8981,5.0771
1189,39 40,160,0.5797,4.9404
40 505,39,170,0.8673,4.9030
49 505,39,98,0.8673,4.9025
505,39 40,170,0.5705,4.8616
505,39,245,0.8221,4.6475
49 8979,40 42,172,0.5000,3.8620
40 49 8979,42,172,0.6232,3.6762
40 49 353,42,94,0.6225,3.6723
39 40 16011,42,92,0.5786,3.4133
49 8979,42,196,0.5698,3.3611
39 15833,42,92,0.5679,3.3501
40 8979,42,243,0.5612,3.3106
40 49 209,42,124,0.5586,3.2950
40 353,42,124,0.5536,3.2656
39 16011,42,116,0.5249,3.0964
39 16218,42,101,0.5233,3.0871
40 1860,42,113,0.5183,3.0578
8979 16011,42,101,0.5179,3.0554
40 209,42,165,0.5061,2.9857
40 49 16218,42,234,0.5054,2.9814
40 49 15833,42,220,0.5046,2.9766
33 42 90,40 49,139,0.7433,2.2487
42 2959,40 49,160,0.7373,2.2306
42 1136,40 49,113,0.7338,2.2198
90 311,40 49,167,0.7325,2.2159
33 39 90,40 49,106,0.7162,2.1667
33 42 311,40 49,133,0.7151,2.1632
42 90,40 49,522,0.7131,2.1574
39 42 311,40 49,118,0.7108,2.1505
39 42 90,40 49,148,0.7048,2.1321
39 42 476,40 49,95,0.6985,2.1132
11 42,40 49,93,0.6940,2.0996
42 256,40 49,230,0.6928,2.0958
39 2959,40 49,128,0.6919,2.0931
42 187,40 49,100,0.6897,2.0864
90 226,40 49,111,0.6810,2.0601
42 79,40 49,136,0.6766,2.0469
42 311,40 49,486,0.6759,2.0449
42 571,40 49,137,0.6716,2.0317
90 476,40 49,102,0.6667,2.0168
42 1436,40 49,95,0.6643,2.0098
39 1136,40 49,99,0.6600,1.9967
33 39 48,40 49,97,0.6599,1.9963
33 40 2959,49,120,0.9524,1.9927
42 265,40 49,134,0.6569,1.9872
39 90 171,40 49,111,0.6568,1.9870
40 42 2959,49,160,0.9467,1.9809
37 39 90,40 49,98,0.6533,1.9765
42 476,40 49,372,0.6526,1.9744
33 48,40 49,97,0.6510,1.9695
90 171,40 49,111,0.6491,1.9638
42 14099,40 49,110,0.6471,1.9575
37 90,40 49,99,0.6471,1.9575
42 790,40 49,124,0.6458,1.9538
42 50,40 49,142,0.6455,1.9527
12 42,40 49,127,0.6447,1.9503
39 79,40 49,141,0.6438,1.9478
42 230,40 49,121,0.6436,1.9471
61 90,40 49,92,0.6434,1.9463
33 42 476,40 49,92,0.6434,1.9463
42 259,40 49,163,0.6417,1.9414
42 2959,49,201,0.9263,1.9381
1972,40 49,89,0.6403,1.9370
42 534,40 49,215,0.6399,1.9358
39 108,40 49,90,0.6383,1.9310
42 1394,40 49,137,0.6372,1.9277
39 256,40 49,170,0.6367,1.9262
33 2959,40 49,120,0.6349,1.9208
33 2959,49,173,0.9153,1.9152
33 90,40 49,451,0.6325,1.9136
42 108,40 49,111,0.6307,1.9080
2959,40 49,570,0.6305,1.9075
40 42 1136,49,113,0.9113,1.9068
90 238,40 49,146,0.6293,1.9038
33 50,40 49,129,0.6293,1.9037
40 1972,49,89,0.9082,1.9002
42 408,40 49,96,0.6275,1.8982
42 2200,40 49,92,0.6259,1.8934
735,40 49,229,0.6257,1.8929
79 90,49,109,0.9008,1.8849
10 42,40 49,191,0.6221,1.8822
33 1136,40 49,120,0.6218,1.8810
735,49,329,0.8989,1.8808
40 735,49,229,0.8980,1.8790
42 1068,40 49,90,0.6207,1.8777
42 180,40 49,139,0.6205,1.8773
39 50,40 49,139,0.6205,1.8773
33 40 1136,49,120,0.8955,1.8738
42 439,40 49,265,0.6192,1.8731
39 476,40 49,243,0.6183,1.8706
226 311,40 49,102,0.6182,1.8702
39 40 1136,49,99,0.8919,1.8662
38 39 42,40 49,151,0.6138,1.8570
42 1579,40 49,104,0.6118,1.8507
38 42,40 49,151,0.6113,1.8494
39 90,40 49,467,0.6113,1.8492
39 593,40 49,113,0.6108,1.8479
42 1136,49,136,0.8831,1.8478
39 40 2959,49,128,0.8828,1.8471
39 2959,49,163,0.8811,1.8435
39 534,40 49,143,0.6085,1.8409
90 414,49,108,0.8780,1.8372
492,40 49,148,0.6066,1.8350
66 311,40 49,137,0.6062,1.8339
42 1815,40 49,92,0.6053,1.8311
39 3271,40 49,105,0.6034,1.8256
40 2959,49,570,0.8702,1.8208
42 250,40 49,155,0.6008,1.8175
42 157,40 49,96,0.6000,1.8152
42 549,40 49,145,0.5992,1.8127
42 605,40 49,171,0.5979,1.8088
42 2438,40 49,92,0.5974,1.8073
90 339,49,95,0.8636,1.8070
42 784,40 49,120,0.5970,1.8061
40 3172,49,94,0.8624,1.8044
2959,49,779,0.8617,1.8030
42 767,40 49,103,0.5954,1.8012
40 90 311,49,167,0.8608,1.8012
39 1136,49,129,0.8600,1.7994
33 40 50,49,129,0.8600,1.7994
42 545,40 49,117,0.5939,1.7967
42 1199,40 49,127,0.5935,1.7954
42 8979,40 49,172,0.5931,1.7943
42 10516,40 49,102,0.5930,1.7940
66 90,40 49,186,0.5924,1.7920
39 171 238,40 49,90,0.5921,1.7913
39 230,40 49,116,0.5918,1.7905
42 550,40 49,116,0.5918,1.7905
33 39 40 90,49,106,0.8548,1.7886
42 12926,40 49,91,0.5909,1.7877
171 238,40 49,91,0.5909,1.7877
42 209,40 49,124,0.5905,1.7863
33 40 42 90,49,139,0.8528,1.7843
40 61 90,49,92,0.8519,1.7824
42 3271,40 49,126,0.5888,1.7812
33 256,40 49,189,0.5888,1.7812
40 66 311,49,137,0.8509,1.7805
39 40 42 90,49,148,0.8506,1.7797
39 259,40 49,95,0.5864,1.7741
33 40 90,49,451,0.8477,1.7738
40 42 187,49,100,0.8475,1.7732
39 40 90 171,49,111,0.8473,1.7729
42 799,49,99,0.8462,1.7705
39 784,40 49,90,0.5844,1.7680
